student_id,age,gender,ethnicity,family_income,parent_education,family_size,single_parent,gpa_previous_year,attendance_rate,disciplinary_incidents,extracurricular_activities,school_type,class_size,teacher_student_ratio,absences_last_semester,late_arrivals,homework_completion_rate,counseling_sessions,tutoring_hours,free_lunch_eligible,dropout_risk
STU_00001,17,Male,White,15000.0,Some College,1,0,2.38,0.895,2,0,Public,21,0.052,5,3,0.761,3.0,5.0,1,0
STU_00002,16,Male,White,15000.0,High School,4,0,2.43,0.981,2,3,Public,26,0.064,9,5,0.824,,4.0,1,0
STU_00003,17,Male,Asian,15000.0,Bachelor's Degree,3,0,3.83,0.951,1,1,Public,22,0.038,11,6,0.499,1.0,2.0,1,1
STU_00004,18,Male,White,69845.0,High School,1,0,2.4,0.852,0,2,Private,34,0.05,6,8,0.565,2.0,3.0,0,0
STU_00005,16,Male,White,70412.0,High School,1,0,2.74,0.959,1,1,Public,28,0.081,10,7,0.765,3.0,2.0,1,0
STU_00006,16,Female,White,71313.0,High School,5,1,2.45,0.96,1,1,Public,23,0.043,19,3,0.683,3.0,0.0,0,1
STU_00007,18,Female,White,46418.0,Bachelor's Degree,4,1,2.01,0.659,1,1,Public,23,0.04,12,6,0.793,3.0,4.0,0,0
STU_00008,17,Female,Asian,15000.0,Graduate Degree,2,0,1.98,0.811,1,0,Public,24,0.037,8,4,0.931,0.0,2.0,0,1
STU_00009,15,Male,White,15973.0,Bachelor's Degree,4,0,3.05,0.983,1,0,Public,28,0.043,16,2,0.582,4.0,4.0,1,0
STU_00010,17,Male,Other,41620.0,Bachelor's Degree,3,0,2.78,0.872,1,2,Private,32,0.075,11,2,0.752,3.0,4.0,1,0
STU_00011,15,Male,Asian,40474.0,Graduate Degree,5,1,3.41,0.795,2,1,Public,33,0.076,5,6,0.623,,1.0,0,0
STU_00012,15,Female,White,30388.0,Some College,5,0,2.61,0.963,0,1,Public,29,0.076,3,5,0.563,2.0,1.0,0,0
STU_00013,16,Female,White,48783.0,Bachelor's Degree,5,0,2.63,0.555,0,4,Public,21,0.069,10,5,0.837,2.0,3.0,0,0
STU_00014,14,Female,Asian,36656.0,Graduate Degree,3,0,3.41,0.839,0,0,Public,32,0.067,17,4,0.837,1.0,0.0,1,0
STU_00015,14,Male,White,39999.0,Less than High School,2,0,2.5,0.839,0,3,Public,24,0.078,11,12,0.738,1.0,2.0,0,0
STU_00016,15,Female,White,21780.0,Some College,2,0,1.65,0.908,1,0,Public,25,0.051,6,4,0.864,1.0,4.0,0,1
STU_00017,14,Male,White,79667.0,Bachelor's Degree,1,0,3.48,0.828,0,2,Public,25,0.076,8,7,0.729,1.0,3.0,1,0
STU_00018,16,Female,Hispanic,25729.0,Graduate Degree,6,1,2.26,0.804,3,4,Public,22,0.085,8,5,0.968,1.0,3.0,0,1
STU_00019,15,Female,Black,15000.0,Bachelor's Degree,2,1,2.85,0.809,0,3,Public,25,0.03,7,9,0.657,2.0,5.0,1,0
STU_00020,14,Female,White,19598.0,Bachelor's Degree,6,0,2.3,0.717,0,0,Private,21,0.054,7,4,0.795,3.0,2.0,0,0
STU_00021,18,Female,White,27480.0,,1,0,2.02,0.522,1,0,Public,31,0.053,12,9,0.862,2.0,,0,0
STU_00022,16,Male,Asian,80435.0,Some College,1,0,1.28,0.841,2,3,Public,19,0.059,8,5,0.741,5.0,5.0,1,0
STU_00023,16,Female,Black,35108.0,Less than High School,5,0,3.07,0.762,2,2,Public,33,0.069,10,3,0.696,1.0,1.0,0,0
STU_00024,14,Female,Hispanic,31291.0,Less than High School,2,0,0.08,0.571,3,4,Private,28,0.102,11,5,0.918,1.0,3.0,0,0
